my,0.09683468
know,NaN
lapaglia's,Infinity
top,0.13168511
performance,1.7904491
missed,Infinity
scrumptious,Infinity
comic,1.120404
acting,0.0
extends,Infinity
well,0.0
sheedy,Infinity
lapaglia,Infinity
joe,1.0033572
pesci,Infinity
particular,Infinity
sinks,Infinity
teeth,Infinity
role,0.5395129
alda's,Infinity
unscrupulous,Infinity
brother,0.4547886
law,0.0
slum,Infinity
lord,Infinity
mob,Infinity
ties,Infinity
who,0.015363473
cheating,Infinity
wife,0.061262835
catherine,0.29878783
o'hara,0.38436636
alda,Infinity
faced,Infinity
challenge,Infinity
directing,Infinity
acting,0.0
somehow,0.0
finds,0.27264073
right,0.64773655
comic,1.120404
touch,Infinity
bride's,Infinity
financially,Infinity
strapped,Infinity
father,0.30672082
carpenter,0.8148393
dreams,0.2700421
bigger,Infinity
wallet,Infinity
film,0.056904636
adopts,Infinity
alda's,Infinity
psychological,Infinity
point,0.27264073
view,0.18474653
tries,0.08557848
plan,Infinity
wedding,0.6821829
pay,0.5160515
filmmaker,0.0
alda's,Infinity
style,0.19961983
humor,0.096275784
remarkably,Infinity
restrained,Infinity
tasteful,Infinity
doesn't,0.43047297
comic,1.120404
genius,Infinity
woody,Infinity
allen,Infinity
alda,Infinity
possess,0.0
inspiration,Infinity
make,0.06892069
movies,0.33542645
ten,0.33130494
times,0.11664
entertaining,0.33130494
slop,Infinity
usually,0.29878783
passes,Infinity
comedy,0.051529516
