my,0.16946068
lapaglia's,Infinity
top,0.23044893
performance,9.115014
missed,Infinity
scrumptious,Infinity
comic,5.703875
acting,0.0
extends,Infinity
well,0.0
sheedy,Infinity
lapaglia,Infinity
joe,1.7558749
pesci,Infinity
particular,Infinity
sinks,Infinity
teeth,Infinity
role,1.6784846
alda's,Infinity
unscrupulous,Infinity
brother,0.79588
law,0.0
slum,Infinity
lord,Infinity
mob,Infinity
ties,Infinity
who,0.07821405
cheating,Infinity
wife,0.10720996
catherine,0.5228787
o'hara,0.6726411
alda,Infinity
faced,Infinity
challenge,Infinity
directing,Infinity
acting,0.0
somehow,0.0
finds,0.47712126
right,1.133539
comic,5.703875
touch,Infinity
bride's,Infinity
financially,Infinity
strapped,Infinity
father,0.9542425
carpenter,1.4259688
dreams,0.47257364
bigger,Infinity
wallet,Infinity
film,0.3319437
adopts,Infinity
alda's,Infinity
psychological,Infinity
point,0.47712126
view,0.3233064
tries,0.14976233
plan,Infinity
wedding,3.9794002
pay,0.90309
filmmaker,0.0
alda's,Infinity
style,0.3493347
humor,0.29952466
remarkably,Infinity
restrained,Infinity
tasteful,Infinity
doesn't,0.75332767
comic,5.703875
genius,Infinity
woody,Infinity
allen,Infinity
alda,Infinity
possess,0.0
inspiration,Infinity
make,0.21441992
movies,0.58699626
ten,0.5797836
times,0.20412
entertaining,0.5797836
slop,Infinity
usually,0.5228787
passes,Infinity
comedy,0.09017665
